TABLE NO.  1
 ID          ADDLTIME    A1          A2          A3          A4          A5          EVID        ADDL        ADDLA
  1.0000E+02  3.4400E+02  2.4216E+01  4.6681E+01  2.1807E+01  2.4036E+02  3.0548E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.4600E+02  2.1560E+01  4.1563E+01  1.9416E+01  2.2845E+02  2.7198E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.4800E+02  1.9197E+01  3.7006E+01  1.7287E+01  2.1648E+02  2.4216E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  3.5000E+02  1.7092E+01  3.2949E+01  1.5392E+01  2.0457E+02  2.1560E+01  0.0000E+00  0.0000E+00  4.0000E+01
  1.0000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+02  7.9990E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+02  8.0000E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+02  8.0100E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+02  8.0200E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+02  8.0300E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+02  8.0400E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+02  8.0500E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+02  8.0600E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+02  8.0700E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+02  8.0790E+02  7.3529E+01  1.0882E+02  5.8824E+01  2.9412E+02  7.3529E+01  0.0000E+00  0.0000E+00  0.0000E+00
